nom,adresse,arrondissement,arrondissement2,telephone,prix,cuisine1,cuisine2,cuisine3,cuisine4,cuisine5,cuisine6,cuisine7
Eileen Ocean Wise Seafood Market & Oyster Bar,"6565, ave. Somerled",Notre-Dame-de-Grâce (NDG),,(438) 823-5440,1,Fruits de mer/Poissons,Tartare,Bio,,,,
Winnie's Bar & Restaurant,"1455, rue Crescent",Centre-ville,Rue Crescent,(514) 288-3814,1.5,Américaine,Canadienne,Grillades,Pub Food,Salades,Fish & Chips,
Restaurant Pickles,"402, boul. Adolphe-Chapleau",Bois-des-Filion,,(450) 965-2929,1,Burgers,Fish & Chips,Poutine,Casse-Croute,,,
Mirchi,"365, Place d'Youville",Vieux-Montréal,,(514) 282-0123,2,Indienne,,,,,,
Saverio,"1365, boul. Curé-Labelle",Chomedey,,(450) 686-8669,2,Italienne,Méditerranéenne,Grillades,,,,
Riaz Kabab,"2369, boul. Curé-Labelle",Chomedey,,(450) 688-1919,1,Afghane,Halal,Moyen Orientale,Grillades,,,
Le Pois Penché,"1230, boul. de Maisonneuve O",Centre-ville,,(514) 667-5050,2.5,Française,Bistro,Réconfort,Fruits de mer/Poissons,Moules,Tartare,Déjeuner
Bitoque,"3706, rue Notre-Dame O",Saint-Henri,Le Sud Ouest,(514) 303-6402,2,Portugaise,Tapas,Grillades,,,,
Les Menus-Plaisirs,"244, boul. Ste-Rose",Vieux Sainte-Rose,Sainte-Rose,(450) 625-0976,2.5,Du Terroir,Française,Tartare,Bistro,,,
Le Terminal,"1875, ave. du Mont-Royal E",Le Plateau-Mont-Royal,,(514) 522-4131,1.5,Bistro,Du Terroir,Pub Food,Réconfort,Marché,Fish & Chips,
Parisa,"4123, rue de Verdun",Verdun/Lasalle,,(514) 768-7777,1,Persane,Iranienne,Grillades,Moyen Orientale,Végétarienne,Santé,
Le Taj,"2077, rue Stanley",Centre-ville,,(514) 845-9015,1.5,Indienne,,,,,,
Piatti,"2, chemin de la Grande-Cote",Rosemère,,(450) 430-1380,3.5,Italienne,Pizza,Pâtes,,,,
Miss Jean Talon,"901, rue Jean-Talon",Parc-Extension,Ville Mont-Royal,(514) 274-4147,1,Déjeuner,Burgers,Pizza,Poutine,Sandwichs,Réconfort,Crème glacée
Le Richmond,"377, rue Richmond",Griffintown,Le Sud Ouest,(514) 508-8749,2.5,Italienne,Marché,,,,,
Vieux-Port Steakhouse,"39, rue St-Paul E",Vieux-Montréal,,(514) 418-0630,2.5,Fruits de mer/Poissons,Grillades,Steakhouse,,,,
Duc de Lorraine,"5002, chemin de la Cote-des-Neiges",Côte-des-Neiges,Westmount,(514) 731-4128,1.5,Desserts et Sucreries,Café,Sandwichs,Salades,Pizza,Deli,Crème glacée
Tango,"205, Promenade du Centropolis",Centropolis,Chomedey,(450) 688-6588,1,Crêperie,Végétarienne,Bistro,Crème glacée,Salades,Déjeuner,Grillades
Il Fornetto,"1900, boul. St-Joseph",Lachine,,(514) 637-5253,2,Italienne,Pizza,,,,,
Les Incorruptibles,"1432, rue Fleury E",Ahuntsic-Cartierville,Villeray-Saint-Michel,(514) 381-8088,1.5,Française,Tapas,Bistro,Américaine,Fruits de mer/Poissons,Tartare,
Kanda Sushi,"7373, boul. Décarie",Côte-des-Neiges,,(514) 735-7888,1.5,Sushi,Japonaise,Asiatique,Fusion,Thaïlandaise,,
L'Étoile de Tunis,"3000, boul. des Laurentides",Vimont,Auteuil,(450) 663-9889,2,Tunisienne,Méditerranéenne,Grillades,Fruits de mer/Poissons,Couscous,,
EggsCrêpes (Eggs Crêpes),"349, boul. Harwood",Vaudreuil-Dorion,,(450) 455-4466,1,Déjeuner,Crêperie,Santé,,,,
La Dinette Montréal-Est,"7066A, rue Sherbrooke E",Hochelaga-Maisonneuve,Montréal-Est,(438) 386-7066,1,Déjeuner,Crêperie,Café,Grilled Cheese,Marché,,
Vivaldi,"13071, boul. Gouin O",Pierrefonds-Roxboro,,(514) 620-9200,2,Italienne,,,,,,
La Raclette,"1059, rue Gilford",Le Plateau-Mont-Royal,,(514) 524-8118,3,Suisse,Fondue,Française,Raclette,,,
Pizza Motta,"303, ave. Mozart E",Petite-Italie,,(514) 270-5952,1,Italienne,Pizza,Desserts et Sucreries,Végétarienne,Salades,Sandwichs,Café
Bidon Taverne Culinaire,"35, boul Desaulniers",Saint-Lambert,,(450) 671-9000,3,Bistro,Du Terroir,Marché,Créative,Française,Tartare,
Grillades La Flamme,"1678, boul. de l'Avenir",Chomedey,Laval-des-Rapides,(450) 681-4747,1.5,Libanaise,Méditerranéenne,Grillades,,,,
Le Bon Vivant,"2705, rue Notre-Dame O",Petite-Bourgogne,Le Sud Ouest,(514) 316-4585,2,Internationale,Bistro,Burgers,Mexicaine,Russe,Sandwichs,Vietnamienne
Spago,"21, rue Morin",Sainte-Adèle,,(450) 229-0229,2.5,Italienne,Pâtes,Pizza,Grillades,Fruits de mer/Poissons,Tartare,
Huis Clos,"7659, rue St-Denis",Villeray-Saint-Michel,Rosemont-Petite-Patrie,(514) 419-8579,1.5,Fruits de mer/Poissons,Française,Tartare,,,,
Zykaa,"8792, rue Hochelaga",Hochelaga-Maisonneuve,Tétreaultville-Mercier-Est,(514) 903-9952,1.5,Indienne,,,,,,
Chez Paesano,"1677, rue St-Denis (2e étage/2nd Floor)",Quartier Latin,Rue St-Denis,(514) 982-6638,2,Italienne,Méditerranéenne,,,,,
Ermitage,"5024, chemin de la Côte-des-Neiges",Côte-des-Neiges,,(514) 600-1860,2.5,Russe,,,,,,
Moe's Bar & Grill,"940, boul. St-Jean, local 28",Pointe-Claire,Dollard-des-Ormeaux,(514) 426-8247,1.5,Américaine,Déjeuner,Deli,Smoked Meat,Pâtes,Grecque,Grillades
Zend'O (Zendo),"450, boul. de Mortagne #1",Boucherville,,(450) 641-8488,2.5,Asiatique,Sushi,Vietnamienne,Thaïlandaise,Szechuannaise,Japonaise,
Kuu Bistro,"1219, rue du Square Phillips",Centre-ville,,(514) 866-6800,2,Japonaise,Sushi,Asiatique,Ramen,,,
India Beau Village,"640, rue Jarry O",Parc-Extension,Villeray-Saint-Michel,(514) 272-5847,1,Indienne,Halal,,,,,
Ôzeu Déjeuner & Dîner & O'Boeuf Burger & Cie,"4293, rue Notre-Dame O",Saint-Henri,Le Sud Ouest,(514) 507-8090,1.5,Américaine,Déjeuner,Crêperie,Burgers,Tartare,Poutine,Salades
La Molisana,"1014, rue Fleury E",Ahuntsic-Cartierville,,(514) 382-7100,1.5,Italienne,Pâtes,Moules,,,,
Grizzly's,"1421, chemin Gascon",Terrebonne/Lachenaie,,(450) 964-4046,2.5,Pizza,Burgers,Grillades,Pâtes,Fruits de mer/Poissons,Steakhouse,Tartare
La Flamberie Delicatessen,"2015, boul des Laurentides",Vimont,Auteuil,(450) 234-0808,1.5,Déjeuner,Deli,Smoked Meat,Grillades,Pizza,Pâtes,Sandwichs
MKT Restaurant,"2044, rue Metcalfe",Centre-ville,,(514) 849-2044,3,Italienne,Méditerranéenne,,,,,
Les Bergeries de l'Acadie,"350, chemin Grand-Pré",St-Jean-Sur-Richelieu,,(450) 347-5274,3,Française,Du Terroir,Réconfort,Tartare,,,
La Flamberge,"5600, boul. Henri-Bourassa E",Montréal-Nord,,(514) 852-0642,1.5,Internationale,Déjeuner,Grillades,Fruits de mer/Poissons,Pâtes,Pizza,Burgers
Da Enrico,"264, rue St-Zotique E",Petite-Italie,Rosemont-Petite-Patrie,(514) 388-0719,1.5,Italienne,Pizza,Marché,,,,
Bungalow,"1279, ave. Mont-Royal E",Le Plateau-Mont-Royal,,(514) 379-1179,2.5,Bistro,Marché,Tartare,,,,
Château Vaudreuil - Villa d'Este,"21700, route Transcanadienne",Vaudreuil-Dorion,,(450) 455-0955,2.5,Italienne,Méditerranéenne,Déjeuner,,,,
Cabane aux Délices des Sucres,"290, côte Jeanne",Saint-Lin-Laurentides,,(450) 439-2067,1,Cabane à sucre,Du Terroir,Desserts et Sucreries,,,,
Jukebox Burgers & Bar Laitier,"11798, boul. de Salaberry",Dollard-des-Ormeaux,,(514) 542-3222,1,Burgers,Réconfort,Sandwichs,Crème glacée,,,
Copains Gourmands,"352, rue Guillaume",Vieux Longueuil,Longueuil,(450) 928-1433,2,Française,Bistro,Du Terroir,Tartare,,,
Grillhouse 422,"422, boul. Monseigneur-Dubois",Saint-Jérôme,,(450) 432-7776,1.5,Steakhouse,Grillades,Barbecue-BBQ,Burgers,Fish & Chips,Poutine,
Il Campari Centro,"1177, rue de la Montagne",Centre-ville,,(514) 868-1177,3,Italienne,,,,,,
Cuisine Pronto MTL,"2025, ave. Mont-Royal E",Le Plateau-Mont-Royal,,(514) 903-7499,1,Pizza,Sandwichs,Café,Pâtes,Salades,,
Pane E Vino Trattoria,"212, rue St-Jacques",Vieux-Montréal,,(514) 844-9991,1.5,Méditerranéenne,Italienne,Bistro,Café,,,
Aux Cinq Parfums,"9732, rue Birnam",Ahuntsic-Cartierville,,(514) 332-4141,2,Thaïlandaise,Szechuannaise,Chinoise,Asiatique,Vietnamienne,,
Madame Bovary,"20, boul. de Mortagne",Boucherville,,(450) 449-7225,3,Tapas,Marché,Bistro,Française,Tartare,Contemporaine/Moderne,Casse-Croute
Il Boccalini,"1408, rue de l'Église",Ville Saint-Laurent,,(514) 747-7809,2,Italienne,Méditerranéenne,,,,,
Hambar,"355, rue McGill",Vieux-Montréal,,(514) 879-1234,2.5,Marché,Bistro,Contemporaine/Moderne,Internationale,Tartare,,
Mariposa,"5434, chemin de la Cote-Saint-Luc",Notre-Dame-de-Grâce (NDG),Côte-des-Neiges,(514) 699-5951,1,Café,Déjeuner,Sandwichs,Bistro,Burgers,,
Taste Italy - Pizzaioli Traiteur Catering,Montreal,Petite-Italie,,(514) 900-2424,1,Pizza,,,,,,
Verses Restaurant,"100, rue St-Paul O",Vieux-Montréal,,(514) 819-3304,2.5,Française,Marché,Du Terroir,Contemporaine/Moderne,Déjeuner,Tartare,
Okinawa,"427, boul. Lacombe",Le Gardeur,Repentigny,(450) 581-1157,1,Sushi,Japonaise,Thaïlandaise,Grillades,,,
Ramona Pizzeria,"5760, rue Hochelaga",Hochelaga-Maisonneuve,Montréal-Est,(514) 259-3221,1,Pizza,Pâtes,Poutine,Salades,,,
Ristorante Sorrento,"350, rue Sicard",Sainte-Thérèse,,(450) 979-7705,2,Italienne,Grillades,Pâtes,Pizza,,,
Restaurant L'INcrédule,"288, rue St-Charles O",Longueuil,Vieux Longueuil,(450) 674-0946,1.5,Française,Bistro,Tartare,Contemporaine/Moderne,Déjeuner,Moules,
GUSTA,"191, place du Marché-du-Nord",Rosemont-Petite-Patrie,Petite-Italie,(514) 559-3940,1.5,Végétalienne,Végétarienne,Du Terroir,Marché,Réconfort,Poutine,Burgers
Le Grand Comptoir,"1225, rue du Square-Phillips",Centre-ville,,(514) 393-3295,2,Française,Bistro,Marché,Tartare,,,
Oeuf & Boeuf,"3100, rue Masson",Vieux-Rosemont,Rosemont-Petite-Patrie,(514) 729-4419,1,Déjeuner,Du Terroir,,,,,
William Sushi (Ryori),"4696, rue Jarry E",Anjou-St-Léonard,Montréal-Est,(514) 376-1888,1.5,Sushi,Asiatique,Japonaise,Thaïlandaise,Szechuannaise,,
Steak Frites St-Paul,"86B , ave. de la Gare",Saint-Sauveur,,(450) 227-6565,2.5,Française,Steakhouse,Bistro,Tartare,,,
Café Vasco Da Gama,"1472, rue Peel",Centre-ville,,(514) 286-2688,1,Portugaise,Café,Sandwichs,Salades,Déjeuner,Tapas,Desserts et Sucreries
Kaza Maza,"4629, ave. Du Parc",Mile-End,Le Plateau-Mont-Royal,(514) 800-6347,2,Moyen Orientale,Syrienne,Libanaise,Grillades,Végétarienne,Café,
Les Délices de Rosa GRILL,"6262, rue Principale",St-Calixte,,(450) 303-3000,1.5,Pizza,Pâtes,Grillades,Italienne,Américaine,Barbecue-BBQ,Fruits de mer/Poissons
Ibiza,"90, rue de la Gare",Saint-Jérôme,,(450) 504-4841,1.5,Tapas,Grillades,Pâtes,Pizza,Fruits de mer/Poissons,Tartare,
Tartine et Chocolat,"4581, rue St-Denis",Le Plateau-Mont-Royal,Rue St-Denis,(438) 384-3800,1,Bistro,Café,Crêperie,Sandwichs,Salades,Belge,Desserts et Sucreries
Umi Sushi,"38, Place du Commerce (suite 109)",Verdun/Lasalle,Île des Soeurs,(514) 769-8288,2,Sushi,Japonaise,,,,,
Mercuri Montreal,"645, rue Wellington",Vieux-Montréal,,(514) 394-3444,3.5,Contemporaine/Moderne,Créative,Marché,Du Terroir,,,
Lulu Bistro,"1025, rue Lionel-Daunais",Boucherville,,(450) 449-5885,2,Française,Bistro,Marché,Grillades,Fruits de mer/Poissons,Réconfort,Tartare
Le Bordelais,"1000, boul. Gouin O.",Ahuntsic-Cartierville,,(514) 337-3540,2,Française,Fruits de mer/Poissons,Steakhouse,Tartare,,,
Le Grill Tasquaria,"2490, rue Bélanger E.",Rosemont-Petite-Patrie,Villeray-Saint-Michel,(514) 729-4894,1.5,Portugaise,Méditerranéenne,Grillades,Fruits de mer/Poissons,Tapas,Tartare,
L'Empanaché,"17000, ave des Golfeurs",Saint-Hyacinthe,,(450) 773-0021,2.5,Du Terroir,Déjeuner,Marché,Bistro,Tapas,Burgers,
Taboo,"352, boul. L'Ange-Gardien",L'Assomption,,(450) 589-0199,2,Burgers,Tartare,Poutine,Salades,Tapas,Réconfort,
La Ratatouille,"25, boul. Don Quichotte",Île Perrot/Pincourt,,(514) 901-9900,2.5,Française,Italienne,Bistro,Fruits de mer/Poissons,Tartare,Grillades,Pâtes
Ô Steak,"9705, boul. de l'Acadie",Ahuntsic-Cartierville,,(514) 339-6000,2.5,Grillades,Steakhouse,Grillades,Burgers,Halal,,
Elio Pizzeria,"351, rue Bellechasse",Rosemont-Petite-Patrie,,(514) 276-5341,1,Italienne,Pizza,Pâtes,,,,
Casa Minhota,"3959, boul. St-Laurent",Le Plateau-Mont-Royal,Boul. St-Laurent/Main,(514) 842-2661,2.5,Portugaise,Fruits de mer/Poissons,Tapas,,,,
Lychee Resto,"187, ave. du Mont-Royal E",Le Plateau-Mont-Royal,,(514) 844-3882,2,Thaïlandaise,Szechuannaise,Asiatique,,,,
Bistro Le Balmoral,"305, rue Ste-Catherine O",Centre-ville,,(514) 288-5992,1.5,Française,Bistro,Tartare,,,,
Aux Deux Oliviers,"147, rue Morin",Sainte-Adèle,,(450) 745-0466,2.5,Italienne,Grillades,Pâtes,Fruits de mer/Poissons,,,
Sahib,"225B, boul. Hymus",Pointe-Claire,,(514) 426-1121,2,Indienne,,,,,,
KOKORO Sushi & Tapas,1150 rue Sauvé O,Ahuntsic-Cartierville,,(514) 336-8282,2,Sushi,Asiatique,Japonaise,Tapas,,,
LA BOULETTE,"2223, rue Beaubien E",Villeray-Saint-Michel,Rosemont-Petite-Patrie,(514) 903-5599,1.5,Poutine,Burgers,Tartare,Bistro,Salades,Réconfort,Fish & Chips
Sata Sushi,"3349, rue Ontario E",Hochelaga-Maisonneuve,Montréal-Est,(514) 510-7282,2,Sushi,Japonaise,Fusion,,,,
Bella Vita,"250, rue St-Paul E",Vieux-Montréal,,(514) 903-6614,1.5,Italienne,Pizza,,,,,
Bistro K2 Sushi,"1468, rue Crescent",Rue Crescent,Centre-ville,(514) 985-9888,1.5,Sushi,Japonaise,Fusion,Bistro,Asiatique,Ramen,
Toqué!,"900, Place Jean-Paul Riopelle",Vieux-Montréal,,(514) 499-2084,4,Marché,Du Terroir,Créative,Contemporaine/Moderne,Française,Tartare,
Tamashi,"1595, boul. Des Laurentides",Pont Viau,Laval-des-Rapides,(450) 980-0298,1.5,Asiatique,Japonaise,Sushi,Fusion,,,
Piri Piri Hochelaga,"3753, rue Ontario E",Hochelaga-Maisonneuve,Montréal-Est,(514) 521-2779,1,Portugaise,Grillades,Rôtisserie,Poutine,,,
L'Entrecôte,"1440, rue Pierre-Péladeau",Sainte-Adèle,,(450) 229-1545,3.5,Steakhouse,Grillades,Fruits de mer/Poissons,Pâtes,,,
La Guadalupe Mexicaine,"2345, rue Ontario E.",Le Village/Centre Sud,,(514) 523-3262,2,Mexicaine,Latino Américaine,,,,,
Bistro Les Nomades,"4287, rue St-Denis",Rue St-Denis,Le Plateau-Mont-Royal,(514) 903-4989,1.5,Bistro,Du Terroir,Tapas,Créative,,,
3734 Adresse Portugaise,"3734, rue Notre-Dame O",Saint-Henri,Le Sud Ouest,(514) 303-0877,1.5,Marché,Méditerranéenne,Déjeuner,Café,Portugaise,,
Confusion Tapas Du Monde,"1635, rue St-Denis",Quartier Latin,Rue St-Denis,(514) 288-2225,2,Française,Bistro,Tapas,Tartare,,,
Espadon Plateau,"4147, boul. St-Laurent",Le Plateau-Mont-Royal,Boul. St-Laurent/Main,(514) 270-0009,1,Fruits de mer/Poissons,Poutine,Fish & Chips,Pizza,,,
La Serenata,"53, boul. Brunswick",Dollard-des-Ormeaux,,(514) 684-1321,2,Italienne,,,,,,
Resto De La Place,"59, Montée Robert",Saint-Basile-le-Grand,,(450) 441-5634,1,Canadienne,Déjeuner,,,,,
La Carcasse,"85, boul Marie-Victorin",Candiac,,(450) 907-4900,3.5,Steakhouse,Grillades,Fruits de mer/Poissons,Tartare,,,
Restaurant Épik,"171, rue St-Paul O",Vieux-Montréal,,(514) 842-2912,3.5,Italienne,Tapas,Fruits de mer/Poissons,Marché,Végétarienne,,
Clébard,"4557, rue St-Denis",Le Plateau-Mont-Royal,Rue St-Denis,(514) 903-4456,1,Bistro,Pub Food,Burgers,,,,
Brasserie Le Manoir Pointe-Claire,"600, boul. St-Jean",Pointe-Claire,,(514) 695-2071,1.5,Steakhouse,Grillades,Pub Food,Déjeuner,Salades,,
PRIME BBQ Co.,"6450, rue Somerled",Notre-Dame-de-Grâce (NDG),,(514) 482-2227,2.5,Fumoir-Smokehouse,Barbecue-BBQ,Américaine,,,,
B Montreal,"1207, rue Rachel E",Le Plateau-Mont-Royal,,(438) 881-8217,1,Café,Sandwichs,Marché,Crème glacée,Desserts et Sucreries,Bar à jus et smoothies,Santé
Le Pier 66,"361, rue Bernard",Mile-End,Outremont,(514) 903-6696,1.5,Fruits de mer/Poissons,Marché,Méditerranéenne,,,,
Masako Plus Sushi,"600, rue Pierre-Caisse, suite 00780",St-Jean-Sur-Richelieu,,(450) 359-3238,2,Japonaise,Asiatique,Sushi,Grillades,,,
Di Lusso Traiteur - Caterer,Montreal,Montréal-Est,Montréal-Nord,(438) 875-2920,1.5,Italienne,,,,,,
Taqueria Arturo,"64, rue Prince Arthur E",Le Plateau-Mont-Royal,Mile-End,(514) 400-7050,1,Mexicaine,Fusion,,,,,
Le Sieur D'Iberville,"2490, ave du Mont-Royal E",Le Plateau-Mont-Royal,,(514) 525-4448,1.5,Rôtisserie,Pub Food,Bistro,Sandwichs,Burgers,Salades,Grilled Cheese
Le Coin G,"8297, rue St Dominique",Villeray-Saint-Michel,,(514) 388-1914,1.5,Française,Bistro,Marché,Réconfort,Burgers,Salades,Déjeuner
Khyber Pass,"506, ave. Duluth E",Le Plateau-Mont-Royal,Avenue Duluth,(514) 844-7131,2,Afghane,Moyen Orientale,,,,,
Galo,"1970, boul. Graham",Ville Mont-Royal,Côte-des-Neiges,(514) 504-5110,1.5,Portugaise,Grillades,Sandwichs,Fruits de mer/Poissons,,,
Chez Napoli Pizzeria,"794, boul. Des Seigneurs",Terrebonne/Lachenaie,,(450) 471-9211,2,Pizza,Italienne,Pâtes,,,,
Couteau Tranché Resto Lounge Tapas,"2250, Desserte Ouest #22",Sainte-Dorothée,Chomedey,(450) 969-6770,2.5,Tartare,Tapas,Méditerranéenne,,,,
Guaca & Molé,"11598, boul. de Salaberry",Dollard-des-Ormeaux,,(514) 542-4452,2,Mexicaine,Contemporaine/Moderne,,,,,
Saint-Amable Resto Bar,"410, Place Jacques-Cartier",Vieux-Montréal,,(438) 385-1313,1.5,Française,Tartare,,,,,
Essence,"2001, boul. Robert-Bourassa suite 307",Centre-ville,,(514) 845-2002,2.5,Méditerranéenne,Bistro,Internationale,Marché,Fusion,Tartare,
Vendette & Pinelli,"6047, rue Morin",Val-Morin,Val-David,(819) 320-1364,2,Américaine,Canadienne,Burgers,Pâtes,Bistro,Tapas,Végétarienne
La Prunelle,"327, ave. Duluth E",Le Plateau-Mont-Royal,Avenue Duluth,(514) 849-8403,3,Française,Marché,Tartare,,,,
Le Passé Composé Montréal,"1310, boul. de Maisonneuve E",Le Village/Centre Sud,,(514) 524-6663,2.5,Bistro,Française,Déjeuner,Marché,Tartare,Grilled Cheese,
Plein Sud,"222, ave. Mont-Royal E.",Le Plateau-Mont-Royal,,(514) 510-6234,2,Française,Bistro,Marché,Tartare,,,
Montanara,"2291, rue Fleury E",Ahuntsic-Cartierville,,(514) 316-7316,1.5,Italienne,Pizza,,,,,
Hostaria,"236, rue St-Zotique E",Petite-Italie,Rosemont-Petite-Patrie,(514) 273-5776,2.5,Italienne,Bistro,,,,,
Dans le Noir,"151, rue Ste-Catherine E",Centre-ville,Quartier des Spectacles,(514) 419-6177,2,Internationale,Italienne,,,,,
